ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0608,small_airport,Hazel Green Acres Airport,908.0,,US,US-AL,HAZEL GREEN,8AL7,,8AL7,"-86.692304, 34.980471",5
US-0611,small_airport,Haymaker Airport,1134.0,,US,US-OK,HENNESSEY,34OK,,34OK,"-97.8749, 36.04699",5
US-0612,small_airport,Hershey Flying Service Field Airport,2899.0,,US,US-NE,HERSHEY,NE64,,NE64,"-100.97845, 41.162433",5
US-0616,small_airport,Flying M Airport,807.0,,US,US-OK,KINGSTON,12OK,,12OK,"-96.7701472, 34.002175",5
US-0618,small_airport,Red Creek Airport,3530.0,,US,US-AK,LAKE LOUISE,AK80,,AK80,"-147.405653, 62.291829",5
US-0624,small_airport,Saunders Field,1042.0,,US,US-MO,OSBORN,MU31,,MU31,"-94.436362, 39.793541",5
US-0626,small_airport,Musselman Airstrip,5505.0,,US,US-UT,PARADISE,UT01,,UT01,"-111.802416, 41.51825",5
US-0627,small_airport,Haymaker Private Airport,1178.0,,US,US-OK,DOVER,35OK,,35OK,"-97.8423583, 36.0539972",5
US-0628,small_airport,Heyoka Field,860.0,,US,US-WI,EAU CLAIRE,53WI,,53WI,"-91.58536, 44.742138",5
US-0629,small_airport,Squadron Field,947.0,,US,US-KS,ERIE,11KS,,11KS,"-95.24195, 37.4611",5
US-0630,small_airport,The Flying W Ranch Airport,1160.0,,US,US-GA,FLOWERY BRANCH,GA01,,GA01,"-83.936177, 34.176624",5
US-0631,small_airport,Papp Airpark,210.0,,US,US-NY,FORT EDWARD,16NY,,16NY,"-73.563155, 43.251894",5
US-0637,small_airport,Peltz Field,1280.0,,US,US-IA,RINGSTED,,,8Y8,"-94.562508, 43.265972",5
US-0638,small_airport,Dusty Wings Field,289.0,,US,US-AZ,WELLTON,,,,"-113.9386, 32.786336",5
US-0639,small_airport,Krause Private Airport,2363.0,,US,US-NE,ANSLEY,NE45,,NE45,"-99.374658, 41.29314",5
US-0640,small_airport,Forseth Field,800.0,,US,US-WI,ARENA,WI61,,WI61,"-89.997986, 43.091569",5
US-0642,small_airport,Malinchak Private Airport,906.0,,US,US-OK,BRISTOW,OK69,,OK69,"-96.428147, 35.796263",5
US-0643,small_airport,Stockwell Field,760.0,,US,US-MO,BROOKFIELD,MU03,,MU03,"-93.14018, 39.714315",5
US-0645,small_airport,Slate River Ranch Airport,470.0,,US,US-VA,BUCKINGHAM,8VA1,,8VA1,"-78.588408, 37.545017",5
US-0648,small_airport,Shockly Field,242.0,,US,US-MS,CALEDONIA,2MS3,,2MS3,"-88.368611, 33.612916",5
